"station_id","station_name","time"
1,"Chicago (Union Station)","11:40 PM"
4,"Cicero","11:51 PM"
6,"Berwyn","11:55 PM"
7,"Harlem Ave.","11:57 PM"
8,"Riverside","11:59 PM"
10,"Brookfield","12:02 PM"
12,"LaGrange Rd.","12:06 PM"
13,"LaGrange, Stone Av","12:08 PM"
14,"Western Springs","12:11 PM"
16,"Hinsdale","12:14 PM"
18,"Clarendon Hills","12:17 PM"
19,"Westmont","12:20 PM"
20,"Fairview Ave.","12:23 PM"
21,"Downers Grv., Main","12:25 PM"
22,"Belmont","12:28 PM"
23,"Lisle","12:31 PM"
24,"Naperville","12:37 PM"
25,"Route 59","12:42 PM"
26,"Aurora","12:55 PM"
