"station_id","station_name","time"
26,"Aurora","9:30 AM"
25,"Route 59","9:40 AM"
24,"Naperville","9:46 AM"
23,"Lisle","9:52 AM"
22,"Belmont","9:56 AM"
21,"Downers Grv., Main St.","9:59 AM"
20,"Fairview Ave.","10:02 AM"
19,"Westmont","10:05 AM"
18,"Clarendon Hills","10:08 AM"
16,"Hinsdale","10:12 AM"
14,"Western Springs","10:15 AM"
13,"LaGrange, Stone Av","10:19 AM"
12,"LaGrange Rd.","10:21 AM"
10,"Brookfield","10:24 AM"
9,"Hollywood (Zoo Stop)","10:26 AM"
8,"Riverside","10:29 AM"
7,"Harlem Ave.","10:32 AM"
6,"Berwyn","10:34 AM"
4,"Cicero","10:39 AM"
1,"Chicago (Union Station)","10:57 AM"
